xh,xzqh,xqmc,wjwfbsj,lat,lon
99,深圳市宝安区,新安街道灵芝新村,2月4日24时,22.568235428,113.904247127
100,深圳市龙岗区,嶂背步行街,2月4日24时,22.68718567,114.236908799
101,深圳市坪山区,东纵路6-3号,2月4日24时,22.691761476,114.371496008
102,深圳市福田区,新世界伟瑞酒店,2月3日24时,22.56860046,114.047961642
103,深圳市福田区,福滨新村,2月3日24时,22.532943777,114.073642425
104,深圳市福田区,福祥街2号1栋,2月3日24时,22.534955465,114.078039491
105,深圳市福田区,梅林街道兰江山第,2月3日24时,22.567817745,114.008649411
106,深圳市福田区,益田村,2月3日24时,22.517242008,114.048110673
107,深圳市福田区,景田北景龙大厦,2月3日24时,22.560769663,114.040274232
108,深圳市罗湖区,翠华花园,2月3日24时,22.558209306,114.127400649
109,深圳市罗湖区,泥岗西路自来水公司大院,2月3日24时,22.570102552,114.096577829
110,深圳市罗湖区,合正荣悦府,2月3日24时,22.55477157,114.125019977
111,深圳市罗湖区,梧桐山社区赤水洞村,2月3日24时,22.593176059,114.182955647
112,深圳市罗湖区,百仕达花园5期,2月3日24时,22.570297119,114.13698885
113,深圳市罗湖区,大望社区新田村,2月3日24时,22.60163361,114.170532933
114,深圳市宝安区,海华社区自由北小区,2月3日24时,22.572369193,113.878912939
115,深圳市宝安区,松茂·御龙湾,2月3日24时,22.576263748,113.849227201
116,深圳市宝安区,深航幸福花园,2月3日24时,22.702153826,113.807233726
117,深圳市宝安区,塘尾社区蚝二佳仕泰科技园宿舍,2月3日24时,22.704573326,113.778870184
118,深圳市龙岗区,桂芳园八期,2月3日24时,22.610639144,114.133719147
119,深圳市龙岗区,中骏四季阳光一期,2月3日24时,22.724611497,114.29859672
120,深圳市龙岗区,平湖山厦社区梨头廖,2月3日24时,22.707104248,114.110006508
121,深圳市龙岗区,招商依山郡,2月3日24时,22.732383885,114.21533773
122,深圳市南山区,白石洲东四坊,2月3日24时,22.535054679,113.965601194
123,深圳市南山区,登良花园,2月3日24时,22.517759393,113.916329414
124,深圳市光明区,传麒山,2月3日24时,22.745494226,113.939328203
125,深圳市龙华区,观澜街道库坑中心区,2月3日24时,22.738153538,114.029676185
126,深圳市福田区,益田花园,2月2日24时,22.515678985,114.052197804
127,深圳市福田区,笔架山公园员工宿舍,2月2日24时,22.558181902,114.071608737
128,深圳市福田区,上步中路盛夏公寓,2月2日24时,22.5505063,114.090334859
129,深圳市福田区,莲花北村,2月2日24时,22.561959257,114.04552684
130,深圳市福田区,上沙东村八巷,2月2日24时,22.525117906,114.02686177
131,深圳市福田区,新洲四街香江西苑,2月2日24时,22.526695335,114.03652945
132,深圳市南山区,白石洲新堂花园,2月2日24时,22.551124677,113.966292015
133,深圳市南山区,哈尔滨工业大学（深圳）宿舍楼,2月2日24时,22.588888764,113.968368889
134,深圳市南山区,南山街道学府花园,2月2日24时,22.528951626,113.921340247
135,深圳市南山区,沙河街道华侨城东组团小区,2月2日24时,22.538762276,113.985526566
136,深圳市南山区,蛇口街道豪方泽公寓,2月2日24时,22.491469947,113.930517094
137,深圳市宝安区,宏发世纪城,2月2日24时,22.682975368,113.942742648
138,深圳市宝安区,泰华商业城,2月2日24时,22.571175514,113.899300908
139,深圳市宝安区,新安街道甲岸村,2月2日24时,22.564643287,113.899240959
140,深圳市宝安区,满京华云著花园,2月2日24时,22.785617476,113.827199495
141,深圳市宝安区,星曜名城B栋,2月2日24时,22.695485973,113.916093233
142,深圳市龙岗区,布吉新三村,2月2日24时,22.610165143,114.113798742
143,深圳市龙岗区,布吉慢城,2月2日24时,22.626972828,114.124712409
144,深圳市龙岗区,西环路八约1街龙富花园,2月2日24时,22.609962337,114.103706019
145,深圳市龙岗区,华策中心城,2月2日24时,22.703883564,114.239666795
146,深圳市龙岗区,金龙豪庭B栋,2月2日24时,22.620301486,114.142047988
147,深圳市光明区,新陂头村新美一村,2月2日24时,22.806100706,113.937151413
148,深圳市光明区,宏发上域,2月2日24时,22.786360504,113.900728503
149,深圳市光明区,薯田埔村福南路华业苑,2月2日24时,22.782692786,113.869978541
150,深圳市龙华区,南国丽园,2月2日24时,22.656555804,114.025103349
151,深圳市龙华区,星河丹堤,2月2日24时,22.594283918,114.050897183
152,深圳市罗湖区,中兴路88号汉庭酒店,2月2日24时,22.552348695,114.121508654
153,深圳市南山区,西海湾花园,2月1日24时,22.517265695,113.927315103
154,深圳市南山区,后海雅园,2月1日24时,22.49652283,113.93090667
155,深圳市南山区,雍景轩赏湖阁,2月1日24时,22.497600826,113.922615865
156,深圳市南山区,桑泰丹华府三期,2月1日24时,22.59062844,113.960828067
157,深圳市南山区,佳兆业前海广场,2月1日24时,22.497018973,113.881540583
158,深圳市南山区,阳光华艺大厦B座,2月1日24时,22.528009289,113.923527171
159,深圳市龙岗区,回龙埔万科翰邻城,2月1日24时,22.732721447,114.225276608
160,深圳市龙岗区,大族河山,2月1日24时,22.61533847,114.152232688
161,深圳市龙岗区,华创云轩B座,2月1日24时,22.654331526,114.060709831
162,深圳市龙岗区,秀丽山庄,2月1日24时,22.614083647,114.102289769
163,深圳市龙岗区,中央悦城,2月1日24时,22.735228074,114.237263587
164,深圳市福田区,福华路维也纳酒店,2月1日24时,22.539773844,114.075394703
165,深圳市福田区,八卦四路意馨居,2月1日24时,22.567314319,114.096583732
166,深圳市福田区,景田天健花园,2月1日24时,22.559870023,114.028703137
167,深圳市龙华区,春华四季园,2月1日24时,22.624242492,114.047548827
168,深圳市宝安区,万象新天2期,2月1日24时,22.606424273,113.845910226
169,深圳市南山区,沙河街道沙河东路世纪村,1月31日12时,22.536586312,113.960851181
170,深圳市南山区,鸿丰大酒店,1月31日12时,22.540084939,114.119730128
171,深圳市南山区,科技园华润城,1月31日12时,22.545324091,113.946655141
172,深圳市南山区,华侨城香山美墅,1月31日12时,22.553596274,113.964625441
173,深圳市南山区,大冲宿禾服务式公寓,1月31日12时,22.544669053,113.947068768
174,深圳市南山区,锦绣花园,1月31日12时,22.537506507,113.990585709
175,深圳市南山区,蛇口街道东角头港湾花园,1月31日12时,22.48994383,113.929900044
176,深圳市南山区,蔚蓝海岸,1月31日12时,22.509631615,113.932292834
177,深圳市南山区,蛇口街道四海公寓,1月31日12时,22.496933163,113.926630382
178,深圳市南山区,宝能太古城北区,1月31日12时,22.504389932,113.934125442
179,深圳市南山区,蓝月湾畔,1月31日12时,22.507057451,113.930765866
180,深圳市南山区,中洲万豪酒店,1月31日12时,22.520650441,113.928337135
181,深圳市南山区,南山街道友邻公寓,1月31日12时,22.53445947,113.924866109
182,深圳市南山区,南山街道现代城华庭,1月31日12时,22.520116214,113.919751402
183,深圳市南山区,南山街道阳光棕榈园,1月31日12时,22.528795529,113.907727749
184,深圳市福田区,莲花街道景蜜村,1月31日12时,22.558259481,114.033095405
185,深圳市福田区,香蜜新村东区,1月31日12时,22.54952752,114.037480599
186,深圳市福田区,华富街道福莲花园,1月31日12时,22.550492131,114.063936257
187,深圳市福田区,侨香村,1月31日12时,22.55519311,114.008407102
188,深圳市福田区,碧华庭居翠园,1月31日12时,22.565918317,114.045400904
189,深圳市福田区,福华新村,1月31日12时,22.536476955,114.066299358
190,深圳市福田区,益田花园豪园居,1月31日12时,22.517747201,114.051260943
191,深圳市福田区,园岭新村,1月31日12时,22.556887684,114.095489794
192,深圳市福田区,南园街道南园路五邑大厦,1月31日12时,22.541023351,114.082317453
193,深圳市福田区,梅东三路半山御景,1月31日12时,22.575485547,114.065548516
194,深圳市龙华区,龙华圆酒店,1月31日12时,22.628098018,114.016393109
195,深圳市龙华区,观澜湖高尔夫大宅昆士顿区,1月31日12时,22.738058094,114.066313505
196,深圳市龙华区,民治街道金地梅陇镇,1月31日12时,22.633493486,114.027246835
197,深圳市龙华区,民治街道梅龙苑,1月31日12时,22.647482293,114.031251327
198,深圳市龙华区,观湖街道懿花园,1月31日12时,22.695734227,114.058602285
199,深圳市龙华区,观澜街道华盛峰荟名庭2期,1月31日12时,22.714524459,114.037969942
200,深圳市龙岗区,嘉霖·龙禧（龙禧雅苑）,1月31日12时,22.743677873,114.241040069
201,深圳市龙岗区,华浩源,1月31日12时,22.626262716,114.119820795
202,深圳市龙岗区,龙城街道万象天成,1月31日12时,22.72589688,114.248414019
203,深圳市龙岗区,布吉街道百合山庄,1月31日12时,22.597612158,114.115218776
204,深圳市龙岗区,龙岗街道宝能悦澜山,1月31日12时,22.737670468,114.245931293
205,深圳市宝安区,桃源居,1月31日12时,22.617923798,113.85965537
206,深圳市宝安区,航城街道南航明珠花园,1月31日12时,22.608378874,113.837618553
207,深圳市宝安区,新安街道安乐花园,1月31日12时,22.553957461,113.899437756
208,深圳市宝安区,福永街道星航华府,1月31日12时,22.646052481,113.828104831
209,深圳市宝安区,西乡我们家公寓（海湾家2号楼）,1月31日12时,22.582714035,113.85462101
210,深圳市宝安区,明玉路11号花样年·花郡,1月31日12时,22.567109136,113.877335728
211,深圳市罗湖区,罗湖村五坊,1月31日12时,22.538513643,114.116936513
212,深圳市罗湖区,田贝二路金翠园,1月31日12时,22.563864906,114.124086967
213,深圳市罗湖区,红桂路红桂一街50号环保大院,1月31日12时,22.550097954,114.101227243
214,深圳市罗湖区,长城大酒店,1月31日12时,22.552699769,114.101809814
215,深圳市坪山区,龙田街道东城大厦维也纳酒店,1月31日12时,22.717668361,114.389385645
216,深圳市坪山区,龙田街道金茂园酒店,1月31日12时,22.703179812,114.351498393
217,深圳市坪山区,坪山街道易林源酒店,1月31日12时,22.68984159,114.326668227
218,深圳市光明区,公明街道振明路南庄合众豪庭后面三巷,1月31日12时,22.774837315,113.902516376
219,深圳市大鹏新区,万豪酒店,1月31日12时,22.572379492,114.454306478
220,深圳市福田区,福港路西阳光城市,1月30日12时,22.525900471,114.065648173
221,深圳市福田区,越众小区,1月30日12时,22.539513383,114.006246991
222,深圳市福田区,沙嘴村一坊,1月30日12时,22.521716951,114.032538383
223,深圳市福田区,竹子林越海家园依山阁,1月30日12时,22.53830381,114.00179375
224,深圳市福田区,福保街道明月花园,1月30日12时,22.527312981,114.050308296
225,深圳市福田区,华强北街道航苑大厦西座,1月30日12时,22.546696327,114.077541265
226,深圳市福田区,福保街道红树福苑,1月30日12时,22.512527455,114.040751667
227,深圳市南山区,丽山路西湖林语,1月30日12时,22.59587847,113.960492313
228,深圳市南山区,西丽阳光工业区,1月30日12时,22.63730161,113.928427883
229,深圳市南山区,蛇口街道海境界,1月30日12时,22.495163673,113.93020068
230,深圳市南山区,南头街道麒麟花园,1月30日12时,22.548181497,113.926073742
231,深圳市南山区,西丽街道德意名居,1月30日12时,22.593584836,113.956497787
232,深圳市南山区,海岸明珠,1月30日12时,22.518678895,113.926820134
233,深圳市南山区,半岛城邦,1月30日12时,22.483393952,113.927269362
234,深圳市宝安区,石岩街道伊隆达工业园,1月30日12时,22.697056846,113.937195618
235,深圳市宝安区,宝安大道与裕安一路交汇处卡罗社区,1月30日12时,22.565561762,113.884905917
236,深圳市宝安区,松岗街道碧头社区华都公寓,1月30日12时,22.734065118,113.894570203
237,深圳市宝安区,前海铂寓,1月30日12时,22.55813056,113.857330331
238,深圳市盐田区,沙头角街道上东湾,1月30日12时,22.552625837,114.224069934
239,深圳市龙华区,龙华街道新华苑2期,1月30日12时,22.657865903,114.031367124
240,深圳市龙华区,民治街道丰泽湖山庄,1月30日12时,22.597799428,114.049584288
241,深圳市龙华区,民治街道翔龙御庭,1月30日12时,22.639519201,114.003237406
242,深圳市龙华区,金地上塘道1期,1月30日12时,22.63669943,114.017245461
243,深圳市龙华区,观湖街道招商观园,1月30日12时,22.692803984,114.055479765
244,深圳市龙华区,华业玫瑰四季2期,1月30日12时,22.627379819,114.015466571
245,深圳市龙岗区,坂田街道荔园新村,1月30日12时,22.639451284,114.065949512
246,深圳市龙岗区,平湖特力商厦,1月30日12时,22.701216666,114.126895003
247,深圳市龙岗区,中海康城,1月30日12时,22.710138965,114.201911999
248,深圳市龙岗区,龙城街道东方沁园,1月30日12时,22.728003572,114.21962496
249,深圳市龙岗区,布澜路尚峰花园,1月30日12时,22.62648004,114.133077091
250,深圳市坪山区,坪山街道万科金域缇香,1月30日12时,22.710409013,114.336424418
